TIME,GEO,UNIT,IPC,Value
2007,Belgium,Number,Technologies or applications for mitigation or adaptation against climate change,23.436
2008,Belgium,Number,Technologies or applications for mitigation or adaptation against climate change,35.607
2009,Belgium,Number,Technologies or applications for mitigation or adaptation against climate change,36.85
2010,Belgium,Number,Technologies or applications for mitigation or adaptation against climate change,57.923
2011,Belgium,Number,Technologies or applications for mitigation or adaptation against climate change,29.121
2012,Belgium,Number,Technologies or applications for mitigation or adaptation against climate change,43.257
2013,Belgium,Number,Technologies or applications for mitigation or adaptation against climate change,20.5
2004,Bulgaria,Number,Technologies or applications for mitigation or adaptation against climate change,1
2005,Bulgaria,Number,Technologies or applications for mitigation or adaptation against climate change,2.238
2006,Bulgaria,Number,Technologies or applications for mitigation or adaptation against climate change,:
2007,Bulgaria,Number,Technologies or applications for mitigation or adaptation against climate change,:
2008,Bulgaria,Number,Technologies or applications for mitigation or adaptation against climate change,1
2009,Bulgaria,Number,Technologies or applications for mitigation or adaptation against climate change,3
2010,Bulgaria,Number,Technologies or applications for mitigation or adaptation against climate change,0.333
2011,Bulgaria,Number,Technologies or applications for mitigation or adaptation against climate change,1.833
2012,Bulgaria,Number,Technologies or applications for mitigation or adaptation against climate change,4.833
2013,Bulgaria,Number,Technologies or applications for mitigation or adaptation against climate change,3.1
2004,Czech Republic,Number,Technologies or applications for mitigation or adaptation against climate change,2
2005,Czech Republic,Number,Technologies or applications for mitigation or adaptation against climate change,3.667
2006,Czech Republic,Number,Technologies or applications for mitigation or adaptation against climate change,4.783
2007,Czech Republic,Number,Technologies or applications for mitigation or adaptation against climate change,9
2008,Czech Republic,Number,Technologies or applications for mitigation or adaptation against climate change,7.333
2009,Czech Republic,Number,Technologies or applications for mitigation or adaptation against climate change,5.856
2010,Czech Republic,Number,Technologies or applications for mitigation or adaptation against climate change,7.125
2011,Czech Republic,Number,Technologies or applications for mitigation or adaptation against climate change,5.167
2012,Czech Republic,Number,Technologies or applications for mitigation or adaptation against climate change,6.75
2013,Czech Republic,Number,Technologies or applications for mitigation or adaptation against climate change,4
2004,Denmark,Number,Technologies or applications for mitigation or adaptation against climate change,55.699
2005,Denmark,Number,Technologies or applications for mitigation or adaptation against climate change,86.167
2006,Denmark,Number,Technologies or applications for mitigation or adaptation against climate change,95.217
2007,Denmark,Number,Technologies or applications for mitigation or adaptation against climate change,162.4
2008,Denmark,Number,Technologies or applications for mitigation or adaptation against climate change,181.081
2009,Denmark,Number,Technologies or applications for mitigation or adaptation against climate change,209.581
2010,Denmark,Number,Technologies or applications for mitigation or adaptation against climate change,260.309
2011,Denmark,Number,Technologies or applications for mitigation or adaptation against climate change,317.383
2012,Denmark,Number,Technologies or applications for mitigation or adaptation against climate change,219.952
2013,Denmark,Number,Technologies or applications for mitigation or adaptation against climate change,113.292
2004,Germany (until 1990 former territory of the FRG),Number,Technologies or applications for mitigation or adaptation against climate change,394.987
2005,Germany (until 1990 former territory of the FRG),Number,Technologies or applications for mitigation or adaptation against climate change,451.81
2006,Germany (until 1990 former territory of the FRG),Number,Technologies or applications for mitigation or adaptation against climate change,559.129
2007,Germany (until 1990 former territory of the FRG),Number,Technologies or applications for mitigation or adaptation against climate change,728.604
2008,Germany (until 1990 former territory of the FRG),Number,Technologies or applications for mitigation or adaptation against climate change,823.915
2009,Germany (until 1990 former territory of the FRG),Number,Technologies or applications for mitigation or adaptation against climate change,"1,008.76"
2010,Germany (until 1990 former territory of the FRG),Number,Technologies or applications for mitigation or adaptation against climate change,"1,000.65"
2011,Germany (until 1990 former territory of the FRG),Number,Technologies or applications for mitigation or adaptation against climate change,"1,055.51"
2012,Germany (until 1990 former territory of the FRG),Number,Technologies or applications for mitigation or adaptation against climate change,880.883
2013,Germany (until 1990 former territory of the FRG),Number,Technologies or applications for mitigation or adaptation against climate change,313.025
2004,Estonia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2005,Estonia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2006,Estonia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2007,Estonia,Number,Technologies or applications for mitigation or adaptation against climate change,4
2008,Estonia,Number,Technologies or applications for mitigation or adaptation against climate change,1
2009,Estonia,Number,Technologies or applications for mitigation or adaptation against climate change,2
2010,Estonia,Number,Technologies or applications for mitigation or adaptation against climate change,5
2011,Estonia,Number,Technologies or applications for mitigation or adaptation against climate change,1.333
2012,Estonia,Number,Technologies or applications for mitigation or adaptation against climate change,1.25
2013,Estonia,Number,Technologies or applications for mitigation or adaptation against climate change,1
2004,Ireland,Number,Technologies or applications for mitigation or adaptation against climate change,2
2005,Ireland,Number,Technologies or applications for mitigation or adaptation against climate change,1.333
2006,Ireland,Number,Technologies or applications for mitigation or adaptation against climate change,7
2007,Ireland,Number,Technologies or applications for mitigation or adaptation against climate change,13.5
2008,Ireland,Number,Technologies or applications for mitigation or adaptation against climate change,27.3
2009,Ireland,Number,Technologies or applications for mitigation or adaptation against climate change,9.467
2010,Ireland,Number,Technologies or applications for mitigation or adaptation against climate change,15.417
2011,Ireland,Number,Technologies or applications for mitigation or adaptation against climate change,12
2012,Ireland,Number,Technologies or applications for mitigation or adaptation against climate change,7.8
2013,Ireland,Number,Technologies or applications for mitigation or adaptation against climate change,6.543
2004,Greece,Number,Technologies or applications for mitigation or adaptation against climate change,1.5
2005,Greece,Number,Technologies or applications for mitigation or adaptation against climate change,3.333
2006,Greece,Number,Technologies or applications for mitigation or adaptation against climate change,10.571
2007,Greece,Number,Technologies or applications for mitigation or adaptation against climate change,6.75
2008,Greece,Number,Technologies or applications for mitigation or adaptation against climate change,2.5
2009,Greece,Number,Technologies or applications for mitigation or adaptation against climate change,5.25
2010,Greece,Number,Technologies or applications for mitigation or adaptation against climate change,4.833
2011,Greece,Number,Technologies or applications for mitigation or adaptation against climate change,4.6
2012,Greece,Number,Technologies or applications for mitigation or adaptation against climate change,4.167
2013,Greece,Number,Technologies or applications for mitigation or adaptation against climate change,1.143
2004,Spain,Number,Technologies or applications for mitigation or adaptation against climate change,27
2005,Spain,Number,Technologies or applications for mitigation or adaptation against climate change,44.892
2006,Spain,Number,Technologies or applications for mitigation or adaptation against climate change,70.546
2007,Spain,Number,Technologies or applications for mitigation or adaptation against climate change,82.317
2008,Spain,Number,Technologies or applications for mitigation or adaptation against climate change,81.7
2009,Spain,Number,Technologies or applications for mitigation or adaptation against climate change,111.124
2010,Spain,Number,Technologies or applications for mitigation or adaptation against climate change,122.349
2011,Spain,Number,Technologies or applications for mitigation or adaptation against climate change,124.593
2012,Spain,Number,Technologies or applications for mitigation or adaptation against climate change,121.267
2013,Spain,Number,Technologies or applications for mitigation or adaptation against climate change,80.8
2004,France,Number,Technologies or applications for mitigation or adaptation against climate change,125.92
2005,France,Number,Technologies or applications for mitigation or adaptation against climate change,175.763
2006,France,Number,Technologies or applications for mitigation or adaptation against climate change,133.429
2007,France,Number,Technologies or applications for mitigation or adaptation against climate change,217.465
2008,France,Number,Technologies or applications for mitigation or adaptation against climate change,273.293
2009,France,Number,Technologies or applications for mitigation or adaptation against climate change,316.133
2010,France,Number,Technologies or applications for mitigation or adaptation against climate change,319.407
2011,France,Number,Technologies or applications for mitigation or adaptation against climate change,392.387
2012,France,Number,Technologies or applications for mitigation or adaptation against climate change,344.201
2013,France,Number,Technologies or applications for mitigation or adaptation against climate change,125.246
2004,Croatia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2005,Croatia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2006,Croatia,Number,Technologies or applications for mitigation or adaptation against climate change,1
2007,Croatia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2008,Croatia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2009,Croatia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2010,Croatia,Number,Technologies or applications for mitigation or adaptation against climate change,3
2011,Croatia,Number,Technologies or applications for mitigation or adaptation against climate change,2
2012,Croatia,Number,Technologies or applications for mitigation or adaptation against climate change,1
2013,Croatia,Number,Technologies or applications for mitigation or adaptation against climate change,0.5
2004,Italy,Number,Technologies or applications for mitigation or adaptation against climate change,56.667
2005,Italy,Number,Technologies or applications for mitigation or adaptation against climate change,56.208
2006,Italy,Number,Technologies or applications for mitigation or adaptation against climate change,95.6
2007,Italy,Number,Technologies or applications for mitigation or adaptation against climate change,139.133
2008,Italy,Number,Technologies or applications for mitigation or adaptation against climate change,127.629
2009,Italy,Number,Technologies or applications for mitigation or adaptation against climate change,145.85
2010,Italy,Number,Technologies or applications for mitigation or adaptation against climate change,137.026
2011,Italy,Number,Technologies or applications for mitigation or adaptation against climate change,151.429
2012,Italy,Number,Technologies or applications for mitigation or adaptation against climate change,131.133
2013,Italy,Number,Technologies or applications for mitigation or adaptation against climate change,51.375
2004,Cyprus,Number,Technologies or applications for mitigation or adaptation against climate change,:
2005,Cyprus,Number,Technologies or applications for mitigation or adaptation against climate change,1
2006,Cyprus,Number,Technologies or applications for mitigation or adaptation against climate change,1.333
2007,Cyprus,Number,Technologies or applications for mitigation or adaptation against climate change,0.25
2008,Cyprus,Number,Technologies or applications for mitigation or adaptation against climate change,2
2009,Cyprus,Number,Technologies or applications for mitigation or adaptation against climate change,1
2010,Cyprus,Number,Technologies or applications for mitigation or adaptation against climate change,:
2011,Cyprus,Number,Technologies or applications for mitigation or adaptation against climate change,1
2012,Cyprus,Number,Technologies or applications for mitigation or adaptation against climate change,1
2013,Cyprus,Number,Technologies or applications for mitigation or adaptation against climate change,:
2004,Latvia,Number,Technologies or applications for mitigation or adaptation against climate change,1
2005,Latvia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2006,Latvia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2007,Latvia,Number,Technologies or applications for mitigation or adaptation against climate change,0.333
2008,Latvia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2009,Latvia,Number,Technologies or applications for mitigation or adaptation against climate change,1
2010,Latvia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2011,Latvia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2012,Latvia,Number,Technologies or applications for mitigation or adaptation against climate change,2
2013,Latvia,Number,Technologies or applications for mitigation or adaptation against climate change,8
2004,Lithuania,Number,Technologies or applications for mitigation or adaptation against climate change,:
2005,Lithuania,Number,Technologies or applications for mitigation or adaptation against climate change,:
2006,Lithuania,Number,Technologies or applications for mitigation or adaptation against climate change,:
2007,Lithuania,Number,Technologies or applications for mitigation or adaptation against climate change,0.333
2008,Lithuania,Number,Technologies or applications for mitigation or adaptation against climate change,:
2009,Lithuania,Number,Technologies or applications for mitigation or adaptation against climate change,1
2010,Lithuania,Number,Technologies or applications for mitigation or adaptation against climate change,:
2011,Lithuania,Number,Technologies or applications for mitigation or adaptation against climate change,:
2012,Lithuania,Number,Technologies or applications for mitigation or adaptation against climate change,1.111
2013,Lithuania,Number,Technologies or applications for mitigation or adaptation against climate change,:
2004,Luxembourg,Number,Technologies or applications for mitigation or adaptation against climate change,3
2005,Luxembourg,Number,Technologies or applications for mitigation or adaptation against climate change,0.5
2006,Luxembourg,Number,Technologies or applications for mitigation or adaptation against climate change,6.667
2007,Luxembourg,Number,Technologies or applications for mitigation or adaptation against climate change,3
2008,Luxembourg,Number,Technologies or applications for mitigation or adaptation against climate change,3.25
2009,Luxembourg,Number,Technologies or applications for mitigation or adaptation against climate change,3.75
2010,Luxembourg,Number,Technologies or applications for mitigation or adaptation against climate change,3
2011,Luxembourg,Number,Technologies or applications for mitigation or adaptation against climate change,6.292
2012,Luxembourg,Number,Technologies or applications for mitigation or adaptation against climate change,5.167
2013,Luxembourg,Number,Technologies or applications for mitigation or adaptation against climate change,1.333
2004,Hungary,Number,Technologies or applications for mitigation or adaptation against climate change,3
2005,Hungary,Number,Technologies or applications for mitigation or adaptation against climate change,1
2006,Hungary,Number,Technologies or applications for mitigation or adaptation against climate change,2
2007,Hungary,Number,Technologies or applications for mitigation or adaptation against climate change,7
2008,Hungary,Number,Technologies or applications for mitigation or adaptation against climate change,4
2009,Hungary,Number,Technologies or applications for mitigation or adaptation against climate change,4
2010,Hungary,Number,Technologies or applications for mitigation or adaptation against climate change,5.233
2011,Hungary,Number,Technologies or applications for mitigation or adaptation against climate change,5
2012,Hungary,Number,Technologies or applications for mitigation or adaptation against climate change,3.143
2013,Hungary,Number,Technologies or applications for mitigation or adaptation against climate change,0.75
2004,Malta,Number,Technologies or applications for mitigation or adaptation against climate change,:
2005,Malta,Number,Technologies or applications for mitigation or adaptation against climate change,:
2006,Malta,Number,Technologies or applications for mitigation or adaptation against climate change,:
2007,Malta,Number,Technologies or applications for mitigation or adaptation against climate change,1.5
2008,Malta,Number,Technologies or applications for mitigation or adaptation against climate change,:
2009,Malta,Number,Technologies or applications for mitigation or adaptation against climate change,:
2010,Malta,Number,Technologies or applications for mitigation or adaptation against climate change,1
2011,Malta,Number,Technologies or applications for mitigation or adaptation against climate change,:
2012,Malta,Number,Technologies or applications for mitigation or adaptation against climate change,:
2013,Malta,Number,Technologies or applications for mitigation or adaptation against climate change,:
2004,Netherlands,Number,Technologies or applications for mitigation or adaptation against climate change,33.317
2005,Netherlands,Number,Technologies or applications for mitigation or adaptation against climate change,38.919
2006,Netherlands,Number,Technologies or applications for mitigation or adaptation against climate change,71.602
2007,Netherlands,Number,Technologies or applications for mitigation or adaptation against climate change,95.761
2008,Netherlands,Number,Technologies or applications for mitigation or adaptation against climate change,128.724
2009,Netherlands,Number,Technologies or applications for mitigation or adaptation against climate change,132.524
2010,Netherlands,Number,Technologies or applications for mitigation or adaptation against climate change,114.193
2011,Netherlands,Number,Technologies or applications for mitigation or adaptation against climate change,111.487
2012,Netherlands,Number,Technologies or applications for mitigation or adaptation against climate change,82.049
2013,Netherlands,Number,Technologies or applications for mitigation or adaptation against climate change,35.542
2004,Austria,Number,Technologies or applications for mitigation or adaptation against climate change,20.305
2005,Austria,Number,Technologies or applications for mitigation or adaptation against climate change,25.958
2006,Austria,Number,Technologies or applications for mitigation or adaptation against climate change,31.5
2007,Austria,Number,Technologies or applications for mitigation or adaptation against climate change,41.862
2008,Austria,Number,Technologies or applications for mitigation or adaptation against climate change,49.476
2009,Austria,Number,Technologies or applications for mitigation or adaptation against climate change,76.539
2010,Austria,Number,Technologies or applications for mitigation or adaptation against climate change,55.242
2011,Austria,Number,Technologies or applications for mitigation or adaptation against climate change,70.589
2012,Austria,Number,Technologies or applications for mitigation or adaptation against climate change,65.45
2013,Austria,Number,Technologies or applications for mitigation or adaptation against climate change,39.208
2004,Poland,Number,Technologies or applications for mitigation or adaptation against climate change,3.5
2005,Poland,Number,Technologies or applications for mitigation or adaptation against climate change,2.867
2006,Poland,Number,Technologies or applications for mitigation or adaptation against climate change,0.8
2007,Poland,Number,Technologies or applications for mitigation or adaptation against climate change,6
2008,Poland,Number,Technologies or applications for mitigation or adaptation against climate change,14.383
2009,Poland,Number,Technologies or applications for mitigation or adaptation against climate change,6
2010,Poland,Number,Technologies or applications for mitigation or adaptation against climate change,7.976
2011,Poland,Number,Technologies or applications for mitigation or adaptation against climate change,16.976
2012,Poland,Number,Technologies or applications for mitigation or adaptation against climate change,23.417
2013,Poland,Number,Technologies or applications for mitigation or adaptation against climate change,14.786
2004,Portugal,Number,Technologies or applications for mitigation or adaptation against climate change,1
2005,Portugal,Number,Technologies or applications for mitigation or adaptation against climate change,9.2
2006,Portugal,Number,Technologies or applications for mitigation or adaptation against climate change,6
2007,Portugal,Number,Technologies or applications for mitigation or adaptation against climate change,3.533
2008,Portugal,Number,Technologies or applications for mitigation or adaptation against climate change,6.69
2009,Portugal,Number,Technologies or applications for mitigation or adaptation against climate change,5.093
2010,Portugal,Number,Technologies or applications for mitigation or adaptation against climate change,11.333
2011,Portugal,Number,Technologies or applications for mitigation or adaptation against climate change,5.833
2012,Portugal,Number,Technologies or applications for mitigation or adaptation against climate change,3.167
2013,Portugal,Number,Technologies or applications for mitigation or adaptation against climate change,:
2004,Romania,Number,Technologies or applications for mitigation or adaptation against climate change,:
2005,Romania,Number,Technologies or applications for mitigation or adaptation against climate change,1.4
2006,Romania,Number,Technologies or applications for mitigation or adaptation against climate change,1.2
2007,Romania,Number,Technologies or applications for mitigation or adaptation against climate change,1.4
2008,Romania,Number,Technologies or applications for mitigation or adaptation against climate change,0.5
2009,Romania,Number,Technologies or applications for mitigation or adaptation against climate change,1
2010,Romania,Number,Technologies or applications for mitigation or adaptation against climate change,2.167
2011,Romania,Number,Technologies or applications for mitigation or adaptation against climate change,3
2012,Romania,Number,Technologies or applications for mitigation or adaptation against climate change,3.25
2013,Romania,Number,Technologies or applications for mitigation or adaptation against climate change,2
2004,Slovenia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2005,Slovenia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2006,Slovenia,Number,Technologies or applications for mitigation or adaptation against climate change,2.333
2007,Slovenia,Number,Technologies or applications for mitigation or adaptation against climate change,2.25
2008,Slovenia,Number,Technologies or applications for mitigation or adaptation against climate change,2
2009,Slovenia,Number,Technologies or applications for mitigation or adaptation against climate change,3.133
2010,Slovenia,Number,Technologies or applications for mitigation or adaptation against climate change,2.143
2011,Slovenia,Number,Technologies or applications for mitigation or adaptation against climate change,2
2012,Slovenia,Number,Technologies or applications for mitigation or adaptation against climate change,6.25
2013,Slovenia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2004,Slovakia,Number,Technologies or applications for mitigation or adaptation against climate change,2
2005,Slovakia,Number,Technologies or applications for mitigation or adaptation against climate change,1.2
2006,Slovakia,Number,Technologies or applications for mitigation or adaptation against climate change,1.367
2007,Slovakia,Number,Technologies or applications for mitigation or adaptation against climate change,1
2008,Slovakia,Number,Technologies or applications for mitigation or adaptation against climate change,1
2009,Slovakia,Number,Technologies or applications for mitigation or adaptation against climate change,1
2010,Slovakia,Number,Technologies or applications for mitigation or adaptation against climate change,3.467
2011,Slovakia,Number,Technologies or applications for mitigation or adaptation against climate change,2.25
2012,Slovakia,Number,Technologies or applications for mitigation or adaptation against climate change,1
2013,Slovakia,Number,Technologies or applications for mitigation or adaptation against climate change,1
2004,Finland,Number,Technologies or applications for mitigation or adaptation against climate change,10
2005,Finland,Number,Technologies or applications for mitigation or adaptation against climate change,22.717
2006,Finland,Number,Technologies or applications for mitigation or adaptation against climate change,17.283
2007,Finland,Number,Technologies or applications for mitigation or adaptation against climate change,21.033
2008,Finland,Number,Technologies or applications for mitigation or adaptation against climate change,34.06
2009,Finland,Number,Technologies or applications for mitigation or adaptation against climate change,40.5
2010,Finland,Number,Technologies or applications for mitigation or adaptation against climate change,71.883
2011,Finland,Number,Technologies or applications for mitigation or adaptation against climate change,58.79
2012,Finland,Number,Technologies or applications for mitigation or adaptation against climate change,51.075
2013,Finland,Number,Technologies or applications for mitigation or adaptation against climate change,12.25
2004,Sweden,Number,Technologies or applications for mitigation or adaptation against climate change,35.36
2005,Sweden,Number,Technologies or applications for mitigation or adaptation against climate change,27.187
2006,Sweden,Number,Technologies or applications for mitigation or adaptation against climate change,34.95
2007,Sweden,Number,Technologies or applications for mitigation or adaptation against climate change,52.317
2008,Sweden,Number,Technologies or applications for mitigation or adaptation against climate change,76.656
2009,Sweden,Number,Technologies or applications for mitigation or adaptation against climate change,70.813
2010,Sweden,Number,Technologies or applications for mitigation or adaptation against climate change,80.129
2011,Sweden,Number,Technologies or applications for mitigation or adaptation against climate change,68.783
2012,Sweden,Number,Technologies or applications for mitigation or adaptation against climate change,66.017
2013,Sweden,Number,Technologies or applications for mitigation or adaptation against climate change,27.786
2004,United Kingdom,Number,Technologies or applications for mitigation or adaptation against climate change,70.186
2005,United Kingdom,Number,Technologies or applications for mitigation or adaptation against climate change,112.102
2006,United Kingdom,Number,Technologies or applications for mitigation or adaptation against climate change,139.208
2007,United Kingdom,Number,Technologies or applications for mitigation or adaptation against climate change,148.663
2008,United Kingdom,Number,Technologies or applications for mitigation or adaptation against climate change,181.504
2009,United Kingdom,Number,Technologies or applications for mitigation or adaptation against climate change,194.495
2010,United Kingdom,Number,Technologies or applications for mitigation or adaptation against climate change,247.569
2011,United Kingdom,Number,Technologies or applications for mitigation or adaptation against climate change,224.717
2012,United Kingdom,Number,Technologies or applications for mitigation or adaptation against climate change,210.702
2013,United Kingdom,Number,Technologies or applications for mitigation or adaptation against climate change,60.254
2004,Iceland,Number,Technologies or applications for mitigation or adaptation against climate change,:
2005,Iceland,Number,Technologies or applications for mitigation or adaptation against climate change,:
2006,Iceland,Number,Technologies or applications for mitigation or adaptation against climate change,1
2007,Iceland,Number,Technologies or applications for mitigation or adaptation against climate change,:
2008,Iceland,Number,Technologies or applications for mitigation or adaptation against climate change,:
2009,Iceland,Number,Technologies or applications for mitigation or adaptation against climate change,1.567
2010,Iceland,Number,Technologies or applications for mitigation or adaptation against climate change,:
2011,Iceland,Number,Technologies or applications for mitigation or adaptation against climate change,:
2012,Iceland,Number,Technologies or applications for mitigation or adaptation against climate change,1
2013,Iceland,Number,Technologies or applications for mitigation or adaptation against climate change,:
2004,Liechtenstein,Number,Technologies or applications for mitigation or adaptation against climate change,:
2005,Liechtenstein,Number,Technologies or applications for mitigation or adaptation against climate change,2.5
2006,Liechtenstein,Number,Technologies or applications for mitigation or adaptation against climate change,1
2007,Liechtenstein,Number,Technologies or applications for mitigation or adaptation against climate change,0.833
2008,Liechtenstein,Number,Technologies or applications for mitigation or adaptation against climate change,1.167
2009,Liechtenstein,Number,Technologies or applications for mitigation or adaptation against climate change,0.5
2010,Liechtenstein,Number,Technologies or applications for mitigation or adaptation against climate change,1.75
2011,Liechtenstein,Number,Technologies or applications for mitigation or adaptation against climate change,0.167
2012,Liechtenstein,Number,Technologies or applications for mitigation or adaptation against climate change,2.333
2013,Liechtenstein,Number,Technologies or applications for mitigation or adaptation against climate change,:
2004,Norway,Number,Technologies or applications for mitigation or adaptation against climate change,18.567
2005,Norway,Number,Technologies or applications for mitigation or adaptation against climate change,25
2006,Norway,Number,Technologies or applications for mitigation or adaptation against climate change,25.944
2007,Norway,Number,Technologies or applications for mitigation or adaptation against climate change,33.026
2008,Norway,Number,Technologies or applications for mitigation or adaptation against climate change,39.988
2009,Norway,Number,Technologies or applications for mitigation or adaptation against climate change,47.542
2010,Norway,Number,Technologies or applications for mitigation or adaptation against climate change,39.083
2011,Norway,Number,Technologies or applications for mitigation or adaptation against climate change,32.383
2012,Norway,Number,Technologies or applications for mitigation or adaptation against climate change,19.117
2013,Norway,Number,Technologies or applications for mitigation or adaptation against climate change,8.5
2004,Switzerland,Number,Technologies or applications for mitigation or adaptation against climate change,42.62
2005,Switzerland,Number,Technologies or applications for mitigation or adaptation against climate change,49.6
2006,Switzerland,Number,Technologies or applications for mitigation or adaptation against climate change,36.683
2007,Switzerland,Number,Technologies or applications for mitigation or adaptation against climate change,63.352
2008,Switzerland,Number,Technologies or applications for mitigation or adaptation against climate change,85.06
2009,Switzerland,Number,Technologies or applications for mitigation or adaptation against climate change,117.602
2010,Switzerland,Number,Technologies or applications for mitigation or adaptation against climate change,85.736
2011,Switzerland,Number,Technologies or applications for mitigation or adaptation against climate change,114.743
2012,Switzerland,Number,Technologies or applications for mitigation or adaptation against climate change,119.767
2013,Switzerland,Number,Technologies or applications for mitigation or adaptation against climate change,52.9
2004,Turkey,Number,Technologies or applications for mitigation or adaptation against climate change,1
2005,Turkey,Number,Technologies or applications for mitigation or adaptation against climate change,2
2006,Turkey,Number,Technologies or applications for mitigation or adaptation against climate change,3
2007,Turkey,Number,Technologies or applications for mitigation or adaptation against climate change,2
2008,Turkey,Number,Technologies or applications for mitigation or adaptation against climate change,6
2009,Turkey,Number,Technologies or applications for mitigation or adaptation against climate change,3.756
2010,Turkey,Number,Technologies or applications for mitigation or adaptation against climate change,6.667
2011,Turkey,Number,Technologies or applications for mitigation or adaptation against climate change,7.5
2012,Turkey,Number,Technologies or applications for mitigation or adaptation against climate change,3.2
2013,Turkey,Number,Technologies or applications for mitigation or adaptation against climate change,0.5
2004,Russia,Number,Technologies or applications for mitigation or adaptation against climate change,11.467
2005,Russia,Number,Technologies or applications for mitigation or adaptation against climate change,15.383
2006,Russia,Number,Technologies or applications for mitigation or adaptation against climate change,13.504
2007,Russia,Number,Technologies or applications for mitigation or adaptation against climate change,18.972
2008,Russia,Number,Technologies or applications for mitigation or adaptation against climate change,18.567
2009,Russia,Number,Technologies or applications for mitigation or adaptation against climate change,6.667
2010,Russia,Number,Technologies or applications for mitigation or adaptation against climate change,8.401
2011,Russia,Number,Technologies or applications for mitigation or adaptation against climate change,17.305
2012,Russia,Number,Technologies or applications for mitigation or adaptation against climate change,16.346
2013,Russia,Number,Technologies or applications for mitigation or adaptation against climate change,0.75
2004,Former Soviet Union (before 1991) / Total components of the former Soviet Union,Number,Technologies or applications for mitigation or adaptation against climate change,:
2005,Former Soviet Union (before 1991) / Total components of the former Soviet Union,Number,Technologies or applications for mitigation or adaptation against climate change,:
